year,series_key,series_label,measure,unit,value,flag,note
1992,all_industries,All industries,worker_deaths,deaths,11,,
1992,construction,Construction,worker_deaths,deaths,7,,
1992,other_sectors,All other industry sectors,worker_deaths,deaths,4,,
1993,all_industries,All industries,worker_deaths,deaths,23,,
1993,construction,Construction,worker_deaths,deaths,12,,
1993,other_sectors,All other industry sectors,worker_deaths,deaths,11,,
1994,all_industries,All industries,worker_deaths,deaths,28,,
1994,construction,Construction,worker_deaths,deaths,10,,
1994,other_sectors,All other industry sectors,worker_deaths,deaths,18,,
1995,all_industries,All industries,worker_deaths,deaths,35,,
1995,construction,Construction,worker_deaths,deaths,9,,
1995,other_sectors,All other industry sectors,worker_deaths,deaths,26,,
1996,all_industries,All industries,worker_deaths,deaths,18,,
1996,construction,Construction,worker_deaths,deaths,9,,
1996,other_sectors,All other industry sectors,worker_deaths,deaths,9,,
1997,all_industries,All industries,worker_deaths,deaths,22,,
1997,construction,Construction,worker_deaths,deaths,6,,
1997,other_sectors,All other industry sectors,worker_deaths,deaths,16,,
1998,all_industries,All industries,worker_deaths,deaths,34,,
1998,construction,Construction,worker_deaths,deaths,9,,
1998,other_sectors,All other industry sectors,worker_deaths,deaths,25,,
1999,all_industries,All industries,worker_deaths,deaths,36,,
1999,construction,Construction,worker_deaths,deaths,9,,
1999,other_sectors,All other industry sectors,worker_deaths,deaths,27,,
2000,all_industries,All industries,worker_deaths,deaths,21,,
2000,construction,Construction,worker_deaths,deaths,5,,
2000,other_sectors,All other industry sectors,worker_deaths,deaths,16,,
2001,all_industries,All industries,worker_deaths,deaths,24,,
2001,construction,Construction,worker_deaths,deaths,11,,
2001,other_sectors,All other industry sectors,worker_deaths,deaths,13,,
2002,all_industries,All industries,worker_deaths,deaths,40,,
2002,construction,Construction,worker_deaths,deaths,16,,
2002,other_sectors,All other industry sectors,worker_deaths,deaths,24,,
2003,all_industries,All industries,worker_deaths,deaths,27,,
2003,construction,Construction,worker_deaths,deaths,8,,
2003,other_sectors,All other industry sectors,worker_deaths,deaths,19,,
2004,all_industries,All industries,worker_deaths,deaths,18,,
2004,construction,Construction,worker_deaths,deaths,8,,
2004,other_sectors,All other industry sectors,worker_deaths,deaths,10,,
2005,all_industries,All industries,worker_deaths,deaths,47,,
2005,construction,Construction,worker_deaths,deaths,12,,
2005,other_sectors,All other industry sectors,worker_deaths,deaths,35,,
2006,all_industries,All industries,worker_deaths,deaths,44,,
2006,construction,Construction,worker_deaths,deaths,16,,
2006,other_sectors,All other industry sectors,worker_deaths,deaths,28,,
2007,all_industries,All industries,worker_deaths,deaths,32,,
2007,construction,Construction,worker_deaths,deaths,16,,
2007,other_sectors,All other industry sectors,worker_deaths,deaths,16,,
2008,all_industries,All industries,worker_deaths,deaths,27,,
2008,construction,Construction,worker_deaths,deaths,9,,
2008,other_sectors,All other industry sectors,worker_deaths,deaths,18,,
2009,all_industries,All industries,worker_deaths,deaths,35,,
2009,construction,Construction,worker_deaths,deaths,11,,
2009,other_sectors,All other industry sectors,worker_deaths,deaths,24,,
2010,all_industries,All industries,worker_deaths,deaths,40,,
2010,construction,Construction,worker_deaths,deaths,18,,
2010,other_sectors,All other industry sectors,worker_deaths,deaths,22,,
2011,all_industries,All industries,worker_deaths,deaths,61,,
2011,construction,Construction,worker_deaths,deaths,18,,
2011,other_sectors,All other industry sectors,worker_deaths,deaths,43,,
2012,all_industries,All industries,worker_deaths,deaths,31,,
2012,construction,Construction,worker_deaths,deaths,14,,
2012,other_sectors,All other industry sectors,worker_deaths,deaths,17,,
2013,all_industries,All industries,worker_deaths,deaths,35,,
2013,construction,Construction,worker_deaths,deaths,12,,
2013,other_sectors,All other industry sectors,worker_deaths,deaths,23,,
2014,all_industries,All industries,worker_deaths,deaths,18,,
2014,construction,Construction,worker_deaths,deaths,9,,
2014,other_sectors,All other industry sectors,worker_deaths,deaths,9,,
2015,all_industries,All industries,worker_deaths,deaths,37,,
2015,construction,Construction,worker_deaths,deaths,17,,
2015,other_sectors,All other industry sectors,worker_deaths,deaths,20,,
2016,all_industries,All industries,worker_deaths,deaths,39,,
2016,construction,Construction,worker_deaths,deaths,11,,
2016,other_sectors,All other industry sectors,worker_deaths,deaths,28,,
2017,all_industries,All industries,worker_deaths,deaths,32,,
2017,construction,Construction,worker_deaths,deaths,12,,
2017,other_sectors,All other industry sectors,worker_deaths,deaths,20,,
2018,all_industries,All industries,worker_deaths,deaths,49,,
2018,construction,Construction,worker_deaths,deaths,11,,
2018,other_sectors,All other industry sectors,worker_deaths,deaths,38,,
2019,all_industries,All industries,worker_deaths,deaths,43,,
2019,construction,Construction,worker_deaths,deaths,,not_available,Construction sector deaths fell below BLS's individual-industry reporting threshold in 2019; BLS combined construction into the all-industry total for that year only.
2019,other_sectors,All other industry sectors,worker_deaths,deaths,,not_available,Construction sector deaths fell below BLS's individual-industry reporting threshold in 2019; BLS combined construction into the all-industry total for that year only.
2020,all_industries,All industries,worker_deaths,deaths,,not_available,BLS data collection for 2020 fell below reporting thresholds; no total or sector breakdown is available.
2020,construction,Construction,worker_deaths,deaths,,not_available,BLS data collection for 2020 fell below reporting thresholds; no total or sector breakdown is available.
2020,other_sectors,All other industry sectors,worker_deaths,deaths,,not_available,BLS data collection for 2020 fell below reporting thresholds; no total or sector breakdown is available.
2021,all_industries,All industries,worker_deaths,deaths,36,,
2021,construction,Construction,worker_deaths,deaths,12,,
2021,other_sectors,All other industry sectors,worker_deaths,deaths,24,,
2022,all_industries,All industries,worker_deaths,deaths,43,,
2022,construction,Construction,worker_deaths,deaths,17,,
2022,other_sectors,All other industry sectors,worker_deaths,deaths,26,,
