jurisdiction,year,measure,unit,value,flag
Alabama,2022,reported_incidence,"cases per 100,000 people",0.630678198,
Alaska,2022,reported_incidence,"cases per 100,000 people",0.954620088,
Arizona,2022,reported_incidence,"cases per 100,000 people",0.122188245,
Arkansas,2022,reported_incidence,"cases per 100,000 people",0.065651174,
California,2022,reported_incidence,"cases per 100,000 people",0.197230495,
Colorado,2022,reported_incidence,"cases per 100,000 people",0.171202418,
Connecticut,2022,reported_incidence,"cases per 100,000 people",56.03116463,
Delaware,2022,reported_incidence,"cases per 100,000 people",29.23119027,
District of Columbia,2022,reported_incidence,"cases per 100,000 people",11.4762821,
Florida,2022,reported_incidence,"cases per 100,000 people",1.047401857,
Georgia,2022,reported_incidence,"cases per 100,000 people",0.284060972,
Hawaii,2022,reported_incidence,"cases per 100,000 people",,not_reported
Idaho,2022,reported_incidence,"cases per 100,000 people",0.515730822,
Illinois,2022,reported_incidence,"cases per 100,000 people",2.058412011,
Indiana,2022,reported_incidence,"cases per 100,000 people",3.454194021,
Iowa,2022,reported_incidence,"cases per 100,000 people",4.812961744,
Kansas,2022,reported_incidence,"cases per 100,000 people",0.306464772,
Kentucky,2022,reported_incidence,"cases per 100,000 people",1.595899248,
Louisiana,2022,reported_incidence,"cases per 100,000 people",0.108979401,
Maine,2022,reported_incidence,"cases per 100,000 people",190.954253,
Maryland,2022,reported_incidence,"cases per 100,000 people",33.01437821,
Massachusetts,2022,reported_incidence,"cases per 100,000 people",72.34982256,
Michigan,2022,reported_incidence,"cases per 100,000 people",5.551523973,
Minnesota,2022,reported_incidence,"cases per 100,000 people",46.98738253,
Mississippi,2022,reported_incidence,"cases per 100,000 people",0.102078037,
Missouri,2022,reported_incidence,"cases per 100,000 people",0.113320538,
Montana,2022,reported_incidence,"cases per 100,000 people",1.157739309,
Nebraska,2022,reported_incidence,"cases per 100,000 people",0.457303131,
Nevada,2022,reported_incidence,"cases per 100,000 people",0.314720649,
New Hampshire,2022,reported_incidence,"cases per 100,000 people",77.5552304,
New Jersey,2022,reported_incidence,"cases per 100,000 people",63.67688726,
New Mexico,2022,reported_incidence,"cases per 100,000 people",0.141946253,
New York,2022,reported_incidence,"cases per 100,000 people",85.38519407,
North Carolina,2022,reported_incidence,"cases per 100,000 people",2.608460293,
North Dakota,2022,reported_incidence,"cases per 100,000 people",2.82445257,
Ohio,2022,reported_incidence,"cases per 100,000 people",4.702502114,
Oklahoma,2022,reported_incidence,"cases per 100,000 people",0,
Oregon,2022,reported_incidence,"cases per 100,000 people",1.438889988,
Pennsylvania,2022,reported_incidence,"cases per 100,000 people",64.8546175,
Rhode Island,2022,reported_incidence,"cases per 100,000 people",212.6449707,
South Carolina,2022,reported_incidence,"cases per 100,000 people",0.832867212,
South Dakota,2022,reported_incidence,"cases per 100,000 people",1.318871178,
Tennessee,2022,reported_incidence,"cases per 100,000 people",0.453966647,
Texas,2022,reported_incidence,"cases per 100,000 people",0.076590464,
Utah,2022,reported_incidence,"cases per 100,000 people",0.473199741,
Vermont,2022,reported_incidence,"cases per 100,000 people",202.7476009,
Virginia,2022,reported_incidence,"cases per 100,000 people",16.16527246,
Washington,2022,reported_incidence,"cases per 100,000 people",0.295459798,
West Virginia,2022,reported_incidence,"cases per 100,000 people",139.230624,
Wisconsin,2022,reported_incidence,"cases per 100,000 people",88.41290183,
Wyoming,2022,reported_incidence,"cases per 100,000 people",0.687723618,
