year,definition_key,definition_label,measure,unit,value,flag,note
1992,def_1990,1990 case definition,reported_incidence,"cases per 100,000 people",3.862553836,,
1993,def_1990,1990 case definition,reported_incidence,"cases per 100,000 people",3.176763949,,
1994,def_1990,1990 case definition,reported_incidence,"cases per 100,000 people",4.956944153,,
1995,def_1990,1990 case definition,reported_incidence,"cases per 100,000 people",4.39389763,,
1996,def_1996,1996 case definition,reported_incidence,"cases per 100,000 people",6.108147417,,
1997,def_1996,1996 case definition,reported_incidence,"cases per 100,000 people",4.695083211,,
1998,def_1996,1996 case definition,reported_incidence,"cases per 100,000 people",6.090538352,,
1999,def_1996,1996 case definition,reported_incidence,"cases per 100,000 people",5.831776879,,
2000,def_1996,1996 case definition,reported_incidence,"cases per 100,000 people",6.283615148,,
2001,def_1996,1996 case definition,reported_incidence,"cases per 100,000 people",5.975738655,,
2002,def_1996,1996 case definition,reported_incidence,"cases per 100,000 people",8.261793674,,
2003,def_1996,1996 case definition,reported_incidence,"cases per 100,000 people",7.332788104,,
2004,def_1996,1996 case definition,reported_incidence,"cases per 100,000 people",6.763538821,,
2005,def_1996,1996 case definition,reported_incidence,"cases per 100,000 people",7.886189838,,
2006,def_1996,1996 case definition,reported_incidence,"cases per 100,000 people",6.679739218,,
2007,def_1996,1996 case definition,reported_incidence,"cases per 100,000 people",9.110609845,,
2008,def_2008,2008 case definition,reported_incidence,"cases per 100,000 people",11.57471175,,
2009,def_2008,2008 case definition,reported_incidence,"cases per 100,000 people",12.53962521,,
2010,def_2008,2008 case definition,reported_incidence,"cases per 100,000 people",9.749721185,,
2011,def_2008,2008 case definition,reported_incidence,"cases per 100,000 people",10.62310055,,
2012,def_2008,2008 case definition,reported_incidence,"cases per 100,000 people",9.824077603,,
2013,def_2008,2008 case definition,reported_incidence,"cases per 100,000 people",11.48978549,,
2014,def_2008,2008 case definition,reported_incidence,"cases per 100,000 people",10.51237639,,
2015,def_2008,2008 case definition,reported_incidence,"cases per 100,000 people",11.87299598,,
2016,def_2008,2008 case definition,reported_incidence,"cases per 100,000 people",11.28037781,,
2017,def_2008,2008 case definition,reported_incidence,"cases per 100,000 people",13.15227752,,
2018,def_2008,2008 case definition,reported_incidence,"cases per 100,000 people",10.30526111,,
2019,def_2008,2008 case definition,reported_incidence,"cases per 100,000 people",10.646189,,Data from some jurisdictions are incomplete for this year because of the COVID-19 pandemic.
2020,def_2008,2008 case definition,reported_incidence,"cases per 100,000 people",5.429423135,,Data from some jurisdictions are incomplete for this year because of the COVID-19 pandemic.
2021,def_2008,2008 case definition,reported_incidence,"cases per 100,000 people",7.411557241,,"State and local health departments reported fewer cases of Lyme disease in 2020 and 2021, which likely reflects the impacts of the COVID-19 pandemic rather than a true change in disease risk."
2022,def_2022,2022 case definition,reported_incidence,"cases per 100,000 people",18.76878662,,
