fips,total_workers,outdoor_workers,percentage
01001,55533,4623,0.08324779860623413
01003,380075,31294,0.08233638097743866
01005,39829,4308,0.10816239423535615
01007,23062,4016,0.17413927673228688
01009,42849,3680,0.08588298443370908
01011,14360,689,0.04798050139275766
01013,33106,2707,0.08176765540989549
01015,219167,10251,0.046772552437182605
01017,41995,2852,0.06791284676747232
01019,25877,1716,0.06631371488194149
01021,46186,3473,0.07519594682371282
01023,17881,1124,0.0628600190145965
01025,40067,3194,0.0797164749045349
01027,21425,963,0.04494749124854142
01029,10944,1512,0.13815789473684212
01031,81180,4938,0.06082779009608278
01033,118768,12346,0.10395055907315101
01035,16586,624,0.03762209092005306
01037,6919,512,0.07399913282266224
01039,59993,5922,0.09871151634357342
01041,17440,1378,0.07901376146788991
01043,145126,8202,0.05651640643303061
01045,86076,3801,0.044158650494911474
01047,58714,3841,0.06541880982389209
01049,110126,4092,0.03715743784392423
01051,98801,9380,0.09493831034098846
01053,62612,6358,0.10154602951510892
01055,167711,6860,0.04090369743189177
01057,19842,1592,0.08023384739441589
01059,54284,2279,0.041982904723307055
01061,25685,2103,0.0818765816624489
01063,8845,441,0.04985867721876767
01065,13016,1358,0.10433312845728335
01067,17579,2971,0.1690084760225269
01069,241941,11587,0.047891841399349426
01071,76346,3627,0.04750740051869122
01073,1745334,156912,0.08990370897490108
01075,16915,645,0.0381318356488324
01077,146286,8904,0.060867068619006606
01079,24841,2649,0.10663821907330623
01081,298039,19547,0.06558537641046977
01083,127087,20007,0.15742758897448206
01085,11784,609,0.05168024439918534
01087,22817,672,0.029451724591313493
01089,1036127,53761,0.05188649653951687
01091,35455,4188,0.11812156254406994
01093,51816,1846,0.03562606144820133
01095,189318,9239,0.04880148744440571
01097,849377,80931,0.09528277784776372
01099,30918,1994,0.06449317549647454
01101,641296,54902,0.08561101269928395
01103,247646,20373,0.08226662251762597
01105,9780,554,0.05664621676891615
01107,18335,2218,0.1209708208344696
01109,72953,2500,0.03426863871259578
01111,23748,1570,0.06611083038571669
01113,69105,4615,0.06678243253020766
01115,97921,10827,0.11056872376711839
01117,421082,40171,0.09539947088690563
01119,14457,633,0.043785017638514216
01121,148990,10341,0.06940734277468287
01123,63920,3058,0.04784105131414268
01125,466367,34562,0.07410901714743967
01127,89475,7254,0.08107292539815592
01129,17547,1955,0.11141505670484983
01131,13360,1083,0.08106287425149701
01133,40362,1177,0.02916109211634706
01999,309228,30498,0.09862625635453452
02013,11318,62,0.005477999646580668
02016,16129,268,0.016616033232066466
02020,712534,84016,0.11791156632525605
02050,33103,1827,0.05519137238316769
02060,6071,137,0.02256629879756218
02063,10416,668,0.0641321044546851
02066,2985,83,0.02780569514237856
02068,8376,156,0.01862464183381089
02070,11166,198,0.017732401934443847
02090,178346,23054,0.12926558487434536
