"Figure 1. Reported Cases of Lyme Disease in the United States, 1992–2022",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: Centers for Disease Control and Prevention, 2024",,,,
Web update: December 2024,,,,
"Units: cases per 100,000 people",,,,
,,,,
Year,1990 case definition,1996 case definition,2008 case definition,2022 case definition
1992,3.862553836,,,
1993,3.176763949,,,
1994,4.956944153,,,
1995,4.39389763,,,
1996,,6.108147417,,
1997,,4.695083211,,
1998,,6.090538352,,
1999,,5.831776879,,
2000,,6.283615148,,
2001,,5.975738655,,
2002,,8.261793674,,
2003,,7.332788104,,
2004,,6.763538821,,
2005,,7.886189838,,
2006,,6.679739218,,
2007,,9.110609845,,
2008,,,11.57471175,
2009,,,12.53962521,
2010,,,9.749721185,
2011,,,10.62310055,
2012,,,9.824077603,
2013,,,11.48978549,
2014,,,10.51237639,
2015,,,11.87299598,
2016,,,11.28037781,
2017,,,13.15227752,
2018,,,10.30526111,
2019,,,10.646189,
2020,,,5.429423135,
2021,,,7.411557241,
2022,,,,18.76878662
